name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Halloween Kills,"Holiday, Horror, Mystery & thriller",39%,278,66%,"2,500+",R (Language|Grisly Images|Some Drug Use|Strong Bloody Violence),1h 45m,2021,English,https://www.rottentomatoes.com/m/halloween_kills
My Neighbor Totoro,"Fantasy, Anime",93%,59,94%,"50,000+",G,1h 27m,1988,Japanese,https://www.rottentomatoes.com/m/my_neighbor_totoro
The Subtle Art of Not Giving a #@%!,"Documentary, Comedy",71%,7,40%,50+,R (Language Throughout|Brief Violent Images),1h 37m,2023,English,https://www.rottentomatoes.com/m/the_subtle_art_of_not_giving_a_at_percent
The Wrecking Crew,"Documentary, Music",95%,74,84%,"5,000+",PG (Thematic Elements|Smoking Images|Language),1h 42m,2008,English,https://www.rottentomatoes.com/m/1200743-wrecking_crew
The Ridiculous 6,"Comedy, Western",0%,37,35%,"2,500+",TV14,1h 59m,2015,English,https://www.rottentomatoes.com/m/the_ridiculous_6
Smile,"Horror, Mystery & thriller",79%,192,77%,"2,500+",R,1h 56m,2022,English,https://www.rottentomatoes.com/m/smile_2022
Bone Tomahawk,"Western, Action, Horror, Comedy",91%,102,74%,"10,000+",,2h 12m,2015,English,https://www.rottentomatoes.com/m/bone_tomahawk
Christine,"Biography, Drama",88%,130,71%,"5,000+",R (Language|A Scene of Disturbing Violence|Some Sexual References),1h 59m,2016,English,https://www.rottentomatoes.com/m/christine_2016
Pocahontas,"Kids & family, Adventure, Animation",54%,57,64%,"250,000+",G,1h 27m,1995,English,https://www.rottentomatoes.com/m/1063452-pocahontas
CODA,Drama,94%,297,91%,"1,000+",PG-13 (Strong Sexual Content|Language|Drug Use),1h 51m,2021,English,https://www.rottentomatoes.com/m/coda_2021
Sisu,"Action, War",94%,179,88%,500+,R (Strong Bloody Violence|Language|Gore),1h 31m,2022,Finnish,https://www.rottentomatoes.com/m/sisu_2022
Judy,"Biography, History, Drama, Music",82%,351,85%,"5,000+",PG-13 (Some Strong Language|Smoking|Substance Abuse|Thematic Content),1h 58m,2019,English,https://www.rottentomatoes.com/m/judy_2019
The Notebook,"Romance, Drama",54%,182,85%,"250,000+",PG-13 (Some Sexuality),2h 4m,2004,English,https://www.rottentomatoes.com/m/notebook
Avatar,"Sci-fi, Adventure, Action, Fantasy",81%,335,82%,"250,000+",PG-13 (Language|Warfare|Intense Battle Sequences|Sensuality|Some Smoking),2h 35m,2009,English,https://www.rottentomatoes.com/m/avatar
9,"Adventure, Fantasy, Sci-fi, War, Animation",57%,185,56%,"250,000+",PG-13 (Violence|Scary Images),1h 19m,2009,English,https://www.rottentomatoes.com/m/1205483_nine
Five Nights at Freddy's,"Horror, Mystery & thriller",31%,199,87%,"2,500+",PG-13 (Strong Violent Content|Language|Bloody Images),1h 50m,2023,English,https://www.rottentomatoes.com/m/five_nights_at_freddys
Insidious: The Red Door,"Horror, Mystery & thriller",37%,115,70%,"1,000+",PG-13 (Strong Language|Frightening Images|Suggestive References|Terror|Violence),1h 47m,2023,English,https://www.rottentomatoes.com/m/insidious_the_red_door
Black Panther,"Action, Adventure, Fantasy",96%,531,79%,"50,000+",PG-13 (Sequences of Action Violence|A Brief Rude Gesture),2h 14m,2018,English,https://www.rottentomatoes.com/m/black_panther_2018
Anna and the Apocalypse,"Holiday, Musical, Comedy, Horror",77%,128,63%,"1,000+",R (Some Sexual Material|Language|Zombie Violence and Gore),1h 32m,2017,English,https://www.rottentomatoes.com/m/anna_and_the_apocalypse
Guillermo del Toro's Pinocchio,"Musical, Fantasy, Animation",96%,292,90%,"2,500+",PG (Dark Thematic Material|Brief Smoking|Peril|Some Rude Humor|Violence),1h 57m,2022,English,https://www.rottentomatoes.com/m/guillermo_del_toros_pinocchio
Reality,"Drama, Mystery & thriller",93%,92,66%,250+,,1h 23m,2023,English,https://www.rottentomatoes.com/m/reality_2023
