name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
The Banker,"History, Drama",79%,80,100%,50+,PG-13 (Some Strong Language|A Sexual Reference|Smoking Throughout|Racial Epithets),2h 0m,2020,English,https://www.rottentomatoes.com/m/the_banker_2020
Interstellar,"Sci-fi, Adventure, Action",73%,379,86%,"100,000+",PG-13 (Some Intense Perilous Action|Brief Strong Language),2h 45m,2014,English,https://www.rottentomatoes.com/m/interstellar_2014
Last Contact,"Sci-fi, Mystery & thriller",33%,18,28%,50+,,1h 57m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/last_sentinel_2023
Brave,"Kids & family, Adventure, Comedy, Animation",79%,256,75%,"250,000+",PG (Some Scary Action|Rude Humor),1h 33m,2012,English,https://www.rottentomatoes.com/m/brave
You Hurt My Feelings,"Comedy, Drama, Romance",94%,211,64%,250+,R (Language),1h 33m,2023,English,https://www.rottentomatoes.com/m/you_hurt_my_feelings_2023
Wrath of Man,"Action, Mystery & thriller, Crime, Drama",67%,259,90%,"2,500+",R,1h 59m,2021,English,https://www.rottentomatoes.com/m/wrath_of_man
Marvel's the Avengers,"Action, Adventure, Fantasy, Sci-fi",91%,368,91%,"250,000+",PG-13 (Intense Sci-Fi Action/Violence|A Mild Drug Reference),2h 23m,2012,English,https://www.rottentomatoes.com/m/marvels_the_avengers
The Greatest Race,"Documentary, Sports & fitness",--,,--,,TVPG,1h 9m,2021,English,https://www.rottentomatoes.com/m/the_greatest_race
Collateral,"Mystery & thriller, Crime, Drama",86%,238,84%,"250,000+",R (Violence|Language),2h 0m,2004,English,https://www.rottentomatoes.com/m/collateral
Locked In,"Mystery & thriller, Crime, Drama, Action",58%,12,53%,Fewer,R (Violence|Language Throughout),1h 30m,2021,English,https://www.rottentomatoes.com/m/locked_in_2021
The Man Who Invented Christmas,"Holiday, History, Drama, Biography",79%,173,77%,"2,500+",PG (Thematic Elements|Some Mild Language),1h 44m,2017,English,https://www.rottentomatoes.com/m/the_man_who_invented_christmas
The Town,"Crime, Drama, Mystery & thriller",92%,238,85%,"100,000+",R (Pervasive Language|Drug Use|Some Sexuality|Strong Violence),2h 4m,2010,English,https://www.rottentomatoes.com/m/the_town
Expend4bles,"Action, Adventure",14%,124,71%,500+,R (Sexual Material|Language|Strong/Bloody Violence),1h 43m,2023,English,https://www.rottentomatoes.com/m/expend4bles
Knock at the Cabin,"Mystery & thriller, Drama",67%,334,63%,"1,000+",R (Violence and Language),1h 40m,2023,English,https://www.rottentomatoes.com/m/knock_at_the_cabin
The Witches of the Orient,"Documentary, Sports & fitness",92%,26,--,Fewer,,1h 40m,2021,Japanese,https://www.rottentomatoes.com/m/the_witches_of_the_orient
Manodrome,"Mystery & thriller, Drama",50%,32,25%,Fewer,R,1h 36m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/manodrome
"The Godfather, Part III","Crime, Drama",66%,68,66%,"250,000+",R (Violence and Language),2h 41m,1990,English,https://www.rottentomatoes.com/m/godfather_part_iii
Riders of Justice,"Action, Mystery & thriller, Comedy",96%,140,89%,500+,,1h 56m,2020,Danish,https://www.rottentomatoes.com/m/riders_of_justice
Rustin,"Drama, Biography, History",86%,131,72%,50+,PG-13 (Some Violence|Sexual Material|Brief Drug Use|Racial Slurs|Thematic Material|Language|Smoking),1h 48m,2023,English,https://www.rottentomatoes.com/m/rustin_2023
Chicken Little,"Kids & family, Comedy, Animation",37%,164,47%,"250,000+",G,1h 21m,2005,English,https://www.rottentomatoes.com/m/chicken_little
To Every You I've Loved Before,"Anime, Fantasy, Romance",--,2,83%,Fewer,,1h 42m,2022,Japanese,https://www.rottentomatoes.com/m/to_every_you_ive_loved_before
Whitney Houston: I Wanna Dance with Somebody,"Biography, Drama, Music",43%,134,92%,"1,000+",PG-13 (Some Strong Language|Smoking|Strong Drug Content|Suggestive References),2h 26m,2022,English,https://www.rottentomatoes.com/m/whitney_houston_i_wanna_dance_with_somebody
Green Room,"Mystery & thriller, Horror",90%,249,75%,"10,000+",R (Language|Gory Images|Some Drug Content|Strong Brutal Graphic Violence),1h 34m,2015,English,https://www.rottentomatoes.com/m/green_room_2016
Prey,"Action, Adventure, Sci-fi",94%,282,74%,"5,000+",R (Strong Bloody Violence),1h 39m,2022,English,https://www.rottentomatoes.com/m/prey_2022
Persuasion,"Romance, Drama",31%,134,73%,"1,000+",PG (Some Suggestive References),1h 49m,2022,English,https://www.rottentomatoes.com/m/persuasion
You Are So Not Invited to My Bat Mitzvah,Comedy,91%,76,60%,"1,000+",PG-13 (Brief Teen Drinking|Strong Language|Some Crude/Suggestive Material),1h 41m,2023,English,https://www.rottentomatoes.com/m/you_are_so_not_invited_to_my_bat_mitzvah
Terry Bradshaw: Going Deep,"Documentary, Sports & fitness",--,1,78%,Fewer,,1h 15m,2022,English,https://www.rottentomatoes.com/m/terry_bradshaw_going_deep
The Handmaiden,"Mystery & thriller, Drama, Romance",96%,225,91%,"10,000+",,2h 24m,2016,Korean,https://www.rottentomatoes.com/m/the_handmaiden
Hayseed,"Comedy, Drama, Mystery & thriller",--,1,--,,,1h 45m,2023,English,https://www.rottentomatoes.com/m/hayseed
Quiz Lady,Comedy,79%,81,82%,250+,R (Some Drug Use and Language),1h 39m,2023,English,https://www.rottentomatoes.com/m/quiz_lady
Elf,"Kids & family, Holiday, Comedy, Fantasy",85%,201,79%,"250,000+",PG (Some Mild Rude Humor|Language),1h 37m,2003,English,https://www.rottentomatoes.com/m/elf
The Power of the Dog,"Western, Drama, Romance",94%,362,76%,Fewer,R (Full Nudity|Brief Sexual Content),2h 8m,2021,English,https://www.rottentomatoes.com/m/the_power_of_the_dog
Hunt for the Wilderpeople,"Comedy, Adventure",97%,209,91%,"25,000+",PG-13 (Thematic Elements|Some Language|Violent Content),1h 41m,2016,English (Australia),https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople
Kong: Skull Island,"Adventure, Action, Sci-fi, Fantasy",75%,395,69%,"50,000+",PG-13 (Intense Sci-Fi Violence/Action|Brief Strong Language),1h 58m,2017,English,https://www.rottentomatoes.com/m/kong_skull_island
In Deep with Ryan Lochte,"Documentary, Sports & fitness",--,3,60%,,,1h 3m,2020,English,https://www.rottentomatoes.com/m/in_deep_with_ryan_lochte
Shrek the Third,"Kids & family, Comedy, Adventure, Animation",42%,212,52%,"250,000+",PG (Suggestive Content|Some Crude Humor|Swashbuckling Action),1h 33m,2007,English,https://www.rottentomatoes.com/m/shrek_3
The Social Dilemma,Documentary,84%,69,83%,500+,PG-13 (Disturbing/Violent Images|Suggestive Material|Some Thematic Elements),1h 34m,2020,English,https://www.rottentomatoes.com/m/the_social_dilemma
Split,"Mystery & thriller, Horror",78%,313,79%,"50,000+",PG-13 (Disturbing Thematic Content|Disturbing Behavior|Some Language|Violence),1h 57m,2016,English,https://www.rottentomatoes.com/m/split_2017
A Hidden Life,"History, Drama, Biography",82%,234,72%,250+,PG-13 (Violent Images|Thematic Material),2h 54m,2019,English,https://www.rottentomatoes.com/m/a_hidden_life_2019
Slotherhouse,"Comedy, Drama, Horror, Mystery & thriller",56%,18,77%,100+,PG-13 (Bloody Images|Violence|Language),1h 33m,2023,English,https://www.rottentomatoes.com/m/slotherhouse
Cry Macho,"Drama, Western, Mystery & thriller",57%,178,64%,500+,PG-13 (Thematic Elements|Language),2h 1m,2021,English,https://www.rottentomatoes.com/m/cry_macho
The Family Stone,"Holiday, Romance, Comedy",52%,160,63%,"250,000+",PG-13 (Some Sexual Content|Drug References),1h 44m,2005,English,https://www.rottentomatoes.com/m/family_stone
Blue Beetle,"Action, Adventure",78%,271,91%,"2,500+",PG-13 (Sequences of Action|Language|Some Suggestive References|Violence),2h 7m,2023,English,https://www.rottentomatoes.com/m/blue_beetle
Bridge of Spies,"History, Drama, Mystery & thriller",91%,314,87%,"50,000+",PG-13 (Some Violence|Brief Strong Language),2h 21m,2015,English,https://www.rottentomatoes.com/m/bridge_of_spies
American Made,"Comedy, Drama, Adventure",85%,271,79%,"25,000+",R (Some Sexuality/Nudity|Language Throughout),1h 55m,2017,English,https://www.rottentomatoes.com/m/american_made_2017
Da 5 Bloods,"Drama, War",92%,313,53%,"2,500+",R (Grisly Images|Strong Violence|Pervasive Language),2h 35m,2020,English,https://www.rottentomatoes.com/m/da_5_bloods
Operation Finale,"Mystery & thriller, History, Drama",61%,137,67%,"1,000+",PG-13 (Violent Images|Some Language|Disturbing Thematic Content),2h 2m,2018,English,https://www.rottentomatoes.com/m/operation_finale
Boston Strangler,"Crime, Drama",68%,138,70%,250+,R (Language|Some Violent Content),1h 52m,2023,English,https://www.rottentomatoes.com/m/boston_strangler_2023
All Quiet on the Western Front,"War, History, Drama, Action",90%,175,90%,"2,500+",R (Strong Bloody War Violence|Grisly Images),2h 28m,2022,German,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022
Pretty Woman,"Romance, Comedy",65%,77,68%,"250,000+",R,1h 54m,1990,English,https://www.rottentomatoes.com/m/pretty_woman
Kingdom of Heaven,"History, Drama, War, Adventure",40%,189,72%,"250,000+",R (Strong Violence|Epic Warfare),2h 25m,2005,English,https://www.rottentomatoes.com/m/kingdom_of_heaven
Last Summer of Nathan Lee,"Comedy, Drama",--,2,--,Fewer,,1h 32m,2023,English,https://www.rottentomatoes.com/m/last_summer_of_nathan_lee
Fantastic Mr. Fox,"Kids & family, Comedy, Adventure, Animation",93%,247,85%,"100,000+",PG (Slang Humor|Action|Smoking),1h 28m,2009,English,https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox
"Roman J. Israel, Esq.","Crime, Drama, Mystery & thriller",55%,177,57%,"2,500+",PG-13 (Language and Some Violence),1h 57m,2017,English,https://www.rottentomatoes.com/m/roman_j_israel_esq
Pokémon the Movie: I Choose You!,"Adventure, Fantasy, Anime",33%,9,63%,500+,,1h 38m,2017,Japanese,https://www.rottentomatoes.com/m/pokemon_the_movie_i_choose_you
The Suicide Squad,"Action, Adventure, Comedy",90%,383,82%,"2,500+",R (Drug Use|Brief Graphic Nudity|Language Throughout|Some Sexual References|Strong Violence and Gore),2h 12m,2021,English,https://www.rottentomatoes.com/m/the_suicide_squad
Minding the Gap,Documentary,100%,129,90%,500+,,1h 33m,2018,English,https://www.rottentomatoes.com/m/minding_the_gap
Writing with Fire,Documentary,100%,54,78%,Fewer,,1h 33m,2021,Hindi,https://www.rottentomatoes.com/m/writing_with_fire
The Humans,"Holiday, Comedy, Drama",92%,141,45%,250+,R (Language|Some Sexual Material),1h 48m,2021,English,https://www.rottentomatoes.com/m/the_humans
Nyad,"Biography, Drama",85%,136,82%,250+,PG-13 (Some Strong Language|Sexual Abuse|Brief Partial Nudity|Thematic Material),2h 1m,2023,English,https://www.rottentomatoes.com/m/nyad
Jojo Rabbit,"Comedy, Drama",80%,432,94%,"5,000+",PG-13 (Mature Thematic Content|Language|Some Disturbing Images|Violence),1h 48m,2019,English,https://www.rottentomatoes.com/m/jojo_rabbit
Ticket to Paradise,"Romance, Comedy",57%,223,87%,"2,500+",PG-13 (Some Strong Language|Brief Suggestive Material),1h 44m,2022,English,https://www.rottentomatoes.com/m/ticket_to_paradise_2022
Aliens,"Sci-fi, Horror, Action",98%,84,94%,"250,000+",R,2h 17m,1986,English,https://www.rottentomatoes.com/m/1000617-aliens
Grave of the Fireflies,"Drama, War, Anime",--,Fewer,90%,,,1h 28m,1988,Japanese,https://www.rottentomatoes.com/m/grave_of_the_fireflies_1988
About Fate,"Holiday, Romance, Comedy",63%,8,67%,100+,R (A Sexual Reference|Some Language),1h 40m,2022,English,https://www.rottentomatoes.com/m/about_fate
Redeeming Love,"Romance, History, Drama",11%,28,95%,500+,PG-13 (Partial Nudity|Mature Thematic Content|Sexual Content|Strong Violent Content),2h 14m,2022,English,https://www.rottentomatoes.com/m/redeeming_love
The Retirement Plan,"Action, Comedy, Crime",60%,15,46%,100+,R (Pervasive Language|Violence),1h 43m,2023,English,https://www.rottentomatoes.com/m/the_retirement_plan
My Hero Academia: Heroes Rising,"Action, Adventure, Anime",90%,41,98%,"2,500+",PG-13 (Violence and Language),1h 44m,2019,Japanese,https://www.rottentomatoes.com/m/my_hero_academia_heroes_rising
The Portable Door,"Fantasy, Adventure, Comedy",81%,16,62%,100+,,1h 56m,2023,English (Australia),https://www.rottentomatoes.com/m/the_portable_door
Champions,Comedy,58%,127,95%,"1,000+",PG-13 (Strong Language|Crude/Sexual References),2h 3m,2023,English,https://www.rottentomatoes.com/m/champions_2022
Rogue One: A Star Wars Story,"Sci-fi, Adventure, Action, Fantasy",84%,463,87%,"100,000+",PG-13 (Sci-Fi Violence and Action),2h 14m,2016,English,https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story
In the Heart of the Sea,"Adventure, Action, History, Drama",43%,240,54%,"25,000+",PG-13 (Intense Sequences of Action|Brief Startling Violence|Intense Sequences of Peril|Thematic Material),1h 56m,2015,English,https://www.rottentomatoes.com/m/in_the_heart_of_the_sea
Leave No Trace,Drama,100%,252,79%,"5,000+",PG (Thematic Material Throughout),1h 48m,2018,English,https://www.rottentomatoes.com/m/leave_no_trace
Saw X,"Horror, Mystery & thriller",80%,148,89%,"1,000+",R (Language|Grisly Bloody Violence|Some Drug Use|Torture),1h 58m,2023,English,https://www.rottentomatoes.com/m/saw_x
Assassin Club,"Action, Mystery & thriller",13%,23,32%,Fewer,R (Violent Content and Language),1h 51m,2023,English,https://www.rottentomatoes.com/m/assassin_club
Jaws,"Holiday, Mystery & thriller, Horror, Adventure",97%,101,90%,"250,000+",PG,2h 4m,1975,English,https://www.rottentomatoes.com/m/jaws
The House That Jack Built,"Mystery & thriller, Crime, Drama",60%,138,65%,"1,000+",R (Language|Grisly Images|Nudity|Sadistic Behavior|Strong Disturbing Violence),2h 31m,2018,English,https://www.rottentomatoes.com/m/the_house_that_jack_built_2018
The After Party,"Comedy, Music",0%,5,85%,250+,,2h 0m,2018,English,https://www.rottentomatoes.com/m/the_after_party_2018
Akira,"Sci-fi, Anime",91%,54,90%,"100,000+",R (Graphic Violence|Brief Nudity),2h 4m,1988,Japanese,https://www.rottentomatoes.com/m/akira
The Witch,"Horror, History, Drama",90%,335,60%,"25,000+",R (Graphic Nudity|Disturbing Violent Content),1h 32m,2015,English,https://www.rottentomatoes.com/m/the_witch_2016
Glory,"War, History, Drama",95%,55,93%,"50,000+",R,2h 2m,1989,English,https://www.rottentomatoes.com/m/1008415-glory
Tumbledown,"Romance, Comedy, Music",70%,37,61%,"1,000+",R (A Sex Scene),1h 43m,2015,English,https://www.rottentomatoes.com/m/tumbledown_2016
While You Were Sleeping,"Romance, Comedy",81%,62,79%,"100,000+",PG,1h 43m,1995,English,https://www.rottentomatoes.com/m/while_you_were_sleeping
Glass Onion: A Knives Out Mystery,"Mystery & thriller, Comedy, Drama",92%,423,92%,"1,000+",PG-13 (Some Violence|Sexual Material|Drug Content|Strong Language),2h 20m,2022,English,https://www.rottentomatoes.com/m/glass_onion_a_knives_out_mystery
Forever Young,"Sci-fi, Romance, Mystery & thriller",--,2,97%,100+,,1h 40m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/forever_young_2023
Lawrence of Arabia,"Biography, History, Drama, Adventure",94%,133,93%,"50,000+",PG,3h 36m,1962,English,https://www.rottentomatoes.com/m/lawrence_of_arabia
The Night of the 12th,"Mystery & thriller, Crime, Drama",94%,64,95%,500+,,1h 55m,2022,French (France),https://www.rottentomatoes.com/m/the_night_of_the_12th
Inception,"Sci-fi, Mystery & thriller, Action",87%,370,91%,"250,000+",PG-13 (Sequences of Violence|Sequences of Action),2h 28m,2010,English,https://www.rottentomatoes.com/m/inception
Before Sunrise,Romance,100%,48,93%,"50,000+",R,1h 41m,1995,English,https://www.rottentomatoes.com/m/before_sunrise
A Haunting in Venice,"Holiday, Mystery & thriller, Drama",75%,285,77%,"1,000+",PG-13 (Some Strong Violence|Disturbing Images|Thematic Elements),1h 43m,2023,English,https://www.rottentomatoes.com/m/a_haunting_in_venice
Watchmen,"Action, Adventure, Fantasy",65%,311,71%,"250,000+",R (Nudity|Language|Sexuality|Strong Graphic Violence),2h 43m,2009,English,https://www.rottentomatoes.com/m/watchmen
Resistance,"Biography, History, Drama",57%,97,80%,250+,R (Some Violence),2h 0m,2020,English,https://www.rottentomatoes.com/m/resistance_2020
Beasts of No Nation,"War, Drama",91%,150,92%,"5,000+",,2h 16m,2015,English,https://www.rottentomatoes.com/m/beasts_of_no_nation
To Catch a Killer,"Action, Crime, Drama, Mystery & thriller",51%,77,65%,500+,R (Strong Violent Content|Strong Language),1h 59m,2023,English,https://www.rottentomatoes.com/m/to_catch_a_killer_2023
Ratatouille,"Kids & family, Comedy, Animation",96%,253,87%,"250,000+",G,1h 51m,2007,English,https://www.rottentomatoes.com/m/ratatouille
"Crazy, Stupid, Love.","Romance, Comedy",79%,239,78%,"100,000+",PG-13 (Language|Coarse Humor|Sexual Content),1h 58m,2011,English,https://www.rottentomatoes.com/m/crazy_stupid_love_2011
The Hunger Games: Catching Fire,"Sci-fi, Action, Adventure",90%,296,89%,"250,000+",PG-13 (Intense Seq of Violence/Action|A Suggestive Situation|Language|Some Frightening Images|Thematic Elements),2h 26m,2013,English,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire
Surrounded,"Western, Action",88%,26,84%,50+,R (Violence and Language),1h 41m,2023,English,https://www.rottentomatoes.com/m/surrounded_2021
The United States vs. Billie Holiday,"History, Drama, Biography, Music",55%,188,79%,500+,R (Nudity|Language Throughout|Violence|Sexual Content|Some Lynching Images|Strong Drug Content),2h 10m,2021,English,https://www.rottentomatoes.com/m/the_united_states_vs_billie_holiday
Surf's Up,"Kids & family, Comedy, Adventure, Animation",79%,148,70%,"250,000+",PG (Some Rude Humor|Mild Language),1h 25m,2007,English,https://www.rottentomatoes.com/m/surfs_up
The Invisible Man,"Horror, Mystery & thriller",92%,423,88%,"10,000+",R (Some Strong Bloody Violence|Language),2h 4m,2020,English,https://www.rottentomatoes.com/m/the_invisible_man_2020
Nimona,"Action, Adventure, Animation",94%,90,91%,"2,500+",PG (Violence and Action|Rude Humor|Thematic Elements|Some Language),1h 41m,2023,English,https://www.rottentomatoes.com/m/nimona
Perfect Blue,"Mystery & thriller, Anime",83%,54,89%,"10,000+",R,1h 20m,1997,Japanese,https://www.rottentomatoes.com/m/perfect_blue_1999
Old,"Horror, Mystery & thriller",50%,344,53%,"1,000+",PG-13 (Disturbing Images|Brief Strong Language|Partial Nudity|Strong Violence|Suggestive Content),1h 48m,2021,English,https://www.rottentomatoes.com/m/old
Fifty Shades Freed,"Romance, Drama",11%,194,38%,"5,000+",R (Nudity|Language|Strong Sexual Content),1h 45m,2018,English,https://www.rottentomatoes.com/m/fifty_shades_freed
Star Wars: Episode I - The Phantom Menace,"Sci-fi, Adventure, Action, Fantasy",52%,237,59%,"250,000+",PG (Sci-Fi Violence|Sci-Fi Action),2h 13m,1999,English,https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace
Belladonna of Sadness,"Fantasy, Drama, Anime",90%,41,75%,500+,,1h 33m,1973,Japanese,https://www.rottentomatoes.com/m/belladonna_of_sadness
Christmas with Jerks,"Holiday, Romance, Comedy",--,Fewer,96%,,,1h 26m,2023,English,https://www.rottentomatoes.com/m/christmas_with_jerks
Scrooged,"Holiday, Comedy, Fantasy",71%,51,71%,"50,000+",PG-13,1h 41m,1988,English,https://www.rottentomatoes.com/m/scrooged
Gunda,Documentary,98%,94,70%,50+,G,1h 33m,2020,English,https://www.rottentomatoes.com/m/gunda_2020
A Bad Moms Christmas,"Holiday, Comedy",32%,129,43%,"10,000+",R (Language Throughout|Crude Sexual Content|Some Drug Use),1h 44m,2017,English,https://www.rottentomatoes.com/m/a_bad_moms_christmas
The Adam Project,"Sci-fi, Adventure, Action, Comedy",68%,216,73%,"2,500+",PG-13 (Language|Violence/Action|Suggestive References),1h 46m,2022,English,https://www.rottentomatoes.com/m/the_adam_project
Violent Night,"Holiday, Action, Comedy",74%,208,88%,"2,500+",R (Some Sexual References|Language Throughout|Strong Bloody Violence),1h 52m,2022,English,https://www.rottentomatoes.com/m/violent_night
Climax,"Drama, Music, Horror",69%,187,66%,500+,R (Disturbing Content|A Combination of Drug Use|Violent Behavior|Language|Some Graphic Nudity|Strong Sexuality),1h 35m,2018,French (France),https://www.rottentomatoes.com/m/climax
Aquaman,"Action, Adventure, Fantasy",65%,414,72%,"25,000+",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),2h 23m,2018,English,https://www.rottentomatoes.com/m/aquaman_2018
Neither Confirm nor Deny,"Documentary, History, War",100%,7,--,Fewer,,1h 33m,2020,English (United Kingdom),https://www.rottentomatoes.com/m/neither_confirm_nor_deny
The Mill,"Sci-fi, Mystery & thriller, Horror",42%,12,48%,50+,,1h 46m,2023,English,https://www.rottentomatoes.com/m/the_mill_2023
Sing Street,"Comedy, Drama, Romance, Music",95%,218,92%,"10,000+",PG-13 (Drug Material|A Suggestive Image|Thematic Elements|Some Bullying Behavior|Strong Language|Teen Smoking),1h 46m,2016,English,https://www.rottentomatoes.com/m/sing_street
Nocturnal Animals,"Mystery & thriller, Crime, Drama",74%,303,73%,"25,000+",R (Language|Graphic Nudity|Menace|Violence),1h 56m,2016,English,https://www.rottentomatoes.com/m/nocturnal_animals
Pearl,"Horror, Mystery & thriller, Comedy",93%,204,82%,500+,R,1h 42m,2022,English,https://www.rottentomatoes.com/m/pearl_2022
Is That Black Enough for You?!?,Documentary,100%,42,58%,Fewer,R (Some Sexual Content|Drug Material|Nudity|Language|Violence),2h 15m,2022,English,https://www.rottentomatoes.com/m/is_that_black_enough_for_you
Toy Story 3,"Kids & family, Comedy, Adventure, Fantasy, Animation",98%,313,90%,"250,000+",G,1h 42m,2010,English,https://www.rottentomatoes.com/m/toy_story_3
Sword Art Online the Movie -Progressive- Aria of a Starless Night,"Action, Adventure, Anime",80%,5,95%,500+,,1h 37m,2021,Japanese,https://www.rottentomatoes.com/m/sword_art_online_the_movie_progressive_aria_of_a_starless_night
Peter Pan & Wendy,"Kids & family, Fantasy, Adventure",64%,149,11%,"5,000+",PG (Peril|Violence|Thematic Elements),1h 46m,2023,English,https://www.rottentomatoes.com/m/peter_pan_and_wendy
Men in Black: International,"Sci-fi, Adventure, Comedy, Action",23%,321,66%,"10,000+",PG-13 (Some Language|Sci-Fi Action|Suggestive Material),1h 55m,2019,English,https://www.rottentomatoes.com/m/men_in_black_international
Incredibles 2,"Kids & family, Comedy, Adventure, Action, Animation",93%,390,84%,"10,000+",PG (Some Brief Mild Language|Action Sequences),1h 58m,2018,English,https://www.rottentomatoes.com/m/incredibles_2
The Ballad of Lefty Brown,Western,80%,30,54%,500+,R (Violence and Some Language),1h 51m,2017,English,https://www.rottentomatoes.com/m/the_ballad_of_lefty_brown
Elvis,"Biography, Drama, Music",77%,398,94%,"10,000+",PG-13 (Strong Language|Smoking|Substance Abuse|Suggestive Material),2h 39m,2022,English,https://www.rottentomatoes.com/m/elvis
Aladdin,"Kids & family, Musical, Comedy, Fantasy, Adventure, Romance",57%,388,94%,"50,000+",PG (Some Action/Peril),2h 8m,2019,English,https://www.rottentomatoes.com/m/aladdin
The Wizard of Oz,"Kids & family, Fantasy, Musical",98%,167,89%,"250,000+",G,1h 41m,1939,English,https://www.rottentomatoes.com/m/the_wizard_of_oz_1939
The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",96%,89,81%,500+,PG (Smoking),39m,2023,English,https://www.rottentomatoes.com/m/the_wonderful_story_of_henry_sugar
True Story,"Crime, Drama, Mystery & thriller",45%,169,38%,"10,000+",R (Some Disturbing Material|Language),1h 44m,2015,English,https://www.rottentomatoes.com/m/true_story_2014
Doctor Sleep,"Horror, Mystery & thriller",78%,337,89%,"5,000+",R (Drug Use|Disturbing and Violent Content|Language|Nudity|Some Bloody Images),2h 31m,2019,English,https://www.rottentomatoes.com/m/doctor_sleep
Home Alone 2: Lost in New York,"Kids & family, Holiday, Comedy",35%,57,62%,"250,000+",PG,2h 0m,1992,English,https://www.rottentomatoes.com/m/home_alone_2_lost_in_new_york
The Matrix Resurrections,"Sci-fi, Action",63%,361,63%,"2,500+",R (Violence and Some Language),2h 28m,2021,English,https://www.rottentomatoes.com/m/the_matrix_resurrections
Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",76%,448,92%,"10,000+",PG-13 (Partial Nudity|Intense Action|Sequences of Strong Violence|Some Strong Language),3h 12m,2022,English,https://www.rottentomatoes.com/m/avatar_the_way_of_water
Cocaine Bear,"Horror, Comedy",66%,319,71%,"2,500+",R (Drug Content|Bloody Violence and Gore|Language Throughout),1h 35m,2023,English,https://www.rottentomatoes.com/m/cocaine_bear
I Can Only Imagine,"Biography, Drama, Music",67%,33,91%,"2,500+",PG (Thematic Elements|Some Violence),1h 50m,2018,English,https://www.rottentomatoes.com/m/i_can_only_imagine_2018
Zootopia,"Kids & family, Comedy, Adventure, Animation",98%,297,92%,"100,000+",PG (Rude Humor|Action|Some Thematic Elements),1h 48m,2016,English,https://www.rottentomatoes.com/m/zootopia
Mandy,"Horror, Mystery & thriller",91%,253,67%,"2,500+",,2h 1m,2018,English,https://www.rottentomatoes.com/m/mandy_2018
Warhorse One,"Drama, Action, War",20%,5,67%,50+,R,2h 6m,2023,English,https://www.rottentomatoes.com/m/warhorse_one
Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",83%,510,90%,"5,000+",PG-13 (Some Disturbing Images|Sequences of Strong Violence|Suggestive Material),2h 35m,2021,English,https://www.rottentomatoes.com/m/dune_2021
Saving Private Ryan,"War, History, Drama",94%,148,95%,"250,000+",R (Graphic Sequences of War|Graphic Sequences of Violence|Language),2h 49m,1998,English,https://www.rottentomatoes.com/m/saving_private_ryan
Spider-Man: Far From Home,"Action, Adventure, Fantasy, Comedy",90%,459,95%,"50,000+",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),2h 9m,2019,English,https://www.rottentomatoes.com/m/spider_man_far_from_home
Into the Wild,"Biography, Drama, Adventure",83%,201,89%,"100,000+",R (Some Nudity|Language),2h 27m,2007,English,https://www.rottentomatoes.com/m/into_the_wild
Nightcrawler,"Mystery & thriller, Crime, Drama",95%,279,86%,"50,000+",R (Language|Graphic Images|Violence),1h 57m,2014,English,https://www.rottentomatoes.com/m/nightcrawler
Love Hard,"Holiday, Romance, Comedy",53%,30,90%,"2,500+",,1h 44m,2021,English,https://www.rottentomatoes.com/m/love_hard
Capone,"Crime, Drama, Biography",40%,140,24%,500+,R (Strong/Bloody Violence|Some Sexuality|Pervasive Language),1h 43m,2020,English,https://www.rottentomatoes.com/m/fonzo
No One Will Save You,"Mystery & thriller, Horror, Sci-fi",81%,113,56%,"1,000+",PG-13 (Terror|Violent Content),1h 33m,2023,English,https://www.rottentomatoes.com/m/no_one_will_save_you
Popstar: Never Stop Never Stopping,"Comedy, Music",79%,173,65%,"10,000+",R (Language Throughout|Drug Use|Sexual Content|Some Graphic Nudity),1h 26m,2016,English,https://www.rottentomatoes.com/m/popstar_never_stop_never_stopping
Metal Lords,"Comedy, Music, Drama",63%,48,84%,500+,R (Nudity|All Involving Teens|Language Throughout|Drug/Alcohol Use|Sexual References),1h 38m,2022,English,https://www.rottentomatoes.com/m/metal_lords
Avengers: Age of Ultron,"Action, Adventure, Fantasy, Sci-fi",76%,378,82%,"250,000+",PG-13 (Violence and Destruction|Intense Seq. of Sci-Fi Action),2h 21m,2015,English,https://www.rottentomatoes.com/m/avengers_age_of_ultron
Nope,"Sci-fi, Horror, Mystery & thriller",83%,469,69%,"5,000+",R (Some Violence/Bloody Images|Language Throughout),2h 15m,2022,English,https://www.rottentomatoes.com/m/nope
