Title,Genre,ReleaseYear,Rating,VoteCount,Duration
Muppets Most Wanted,"['Adventure', 'Comedy', 'Crime']",2014,6.4,36492,1.7833333333333334
The Legend of Hercules,"['Action', 'Adventure', 'Fantasy']",2014,4.2,55626,1.65
Backcountry,"['Adventure', 'Drama', 'Horror']",2014,6.0,23410,1.5333333333333334
The Boxtrolls,"['Animation', 'Adventure', 'Comedy']",2014,6.8,60743,1.6
Into the Storm,"['Action', 'Adventure', 'Drama']",2014,5.8,70836,1.4833333333333334
Black Sea,"['Adventure', 'Drama', 'Thriller']",2014,6.4,40370,1.9
The Invisible Boy,"['Action', 'Adventure', 'Comedy']",2014,6.2,4133,1.6666666666666667
Planes: Fire & Rescue,"['Animation', 'Adventure', 'Comedy']",2014,5.9,19409,1.3833333333333333
Beyond the Reach,"['Action', 'Adventure', 'Thriller']",2014,5.6,10915,1.5166666666666666
Animal,"['Action', 'Adventure', 'Drama']",2014,4.7,7334,1.3666666666666667
When Marnie Was There,"['Animation', 'Drama', 'Family']",2014,7.6,45678,1.7166666666666666
The Nut Job,"['Animation', 'Adventure', 'Comedy']",2014,5.7,29818,1.4166666666666667
Attack on Titan: Crimson Bow and Arrow,"['Animation', 'Action', 'Adventure']",2014,7.6,3608,1.9833333333333334
The Last: Naruto the Movie,"['Animation', 'Action', 'Adventure']",2014,7.6,17121,1.8666666666666667
The Wanted 18,"['Documentary', 'Animation']",2014,7.2,373,1.25
Asterix and Obelix: Mansion of the Gods,"['Animation', 'Adventure', 'Comedy']",2014,6.9,15034,1.4166666666666667
Stand by Me Doraemon,"['Animation', 'Comedy', 'Drama']",2014,7.3,9006,1.5833333333333333
Mune: Guardian of the Moon,"['Animation', 'Adventure', 'Comedy']",2014,7.1,7878,1.4166666666666667
Kahlil Gibran's The Prophet,"['Animation', 'Drama']",2014,7.0,4979,1.4166666666666667
Heavenly Sword,"['Animation', 'Action', 'Adventure']",2014,5.3,2153,1.4166666666666667
Postman Pat: The Movie,"['Animation', 'Comedy', 'Family']",2014,4.7,1900,1.4666666666666666
